sessions_dir,id,session,completed_paperwork,raw_videos,converted_videos,imu_files,datavyu_files,position_primary,position_rel,activity_exported,biostamp_annotations,infant_synced,lena_downloaded,lena_processed,lena_synced,pt2_processed,agemo,date,start_time,end_time
Z:/study_imu_long/data/8/1,8,1,1,9,2,8,2,205,87,1,1,1,1,2,1,1,10.809034907597535,3/30/21,10:25:00,17:15:00
Z:/study_imu_long/data/9/1,9,1,1,8,2,9,2,39,23,1,1,1,1,2,1,1,4.960985626283367,5/5/21,10:18:00,20:14:00
Z:/study_imu_long/data/10/1,10,1,1,10,3,11,2,42,65,1,1,1,1,2,1,0,6.80082135523614,5/25/21,09:29:00,20:20:00
Z:/study_imu_long/data/11/1,11,1,1,8,2,10,2,260,115,1,1,1,1,2,1,1,12.254620123203285,6/16/21,09:41:00,20:03:00
Z:/study_imu_long/data/102/1,102,1,3,11,3,19,3,134,130,1,1,1,1,2,1,1,10.841889117043122,7/12/21,12:39:00,20:00:00
Z:/study_imu_long/data/102/3,102,3,3,11,3,11,3,279,118,1,1,1,1,2,1,1,12.845995893223819,9/11/21,09:13:00,20:00:00
Z:/study_imu_long/data/102/4,102,4,3,9,3,12,3,210,132,1,1,1,1,2,1,0,14.225872689938399,10/23/21,10:40:00,20:00:00
Z:/study_imu_long/data/103/1,103,1,3,9,3,10,2,53,29,1,1,1,1,2,1,1,3.8439425051334704,9/6/21,10:00:00,20:00:00
Z:/study_imu_long/data/104/1,104,1,3,11,3,11,3,31,34,1,1,1,1,2,1,1,4.271047227926078,1/3/22,09:25:00,16:37:00
Z:/study_imu_long/data/105/1,105,1,3,12,4,12,4,18,20,1,1,1,1,2,1,1,10.907597535934292,2/9/22,10:10:00,18:27:00
Z:/study_imu_long/data/106/1,106,1,3,12,4,13,4,42,28,1,1,1,1,2,1,1,4.008213552361396,3/3/22,10:34:00,21:10:00
Z:/study_imu_long/data/107/1,107,1,3,9,3,12,3,57,63,1,1,1,1,2,1,1,4.041067761806982,3/8/22,10:24:00,20:21:00
